Round,Theme,Variable,Description,Groups,Countries Covered,,question - do all countries have info for all rounds,,,,,
11,Subjective well-being,rlgdnacy,Which one? (Cyprus),religion,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgdnafi,Which one? (Finland),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 8, 9, 11",Subjective well-being,rlgdnade,Which one? (Germany),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 10, 11",Subjective well-being,rlgdnagr,Which one? (Greece),religion,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgdnhu,Which one? (Hungary),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Subjective well-being,rlgdnais,Which one? (Iceland),religion,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgdnie,Which one? (Ireland),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgdnlt,Which one? (Lithuania),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Subjective well-being,rlgdnanl,Which one? (Netherlands),religion,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgdnno,Which one? (Norway),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 11",Subjective well-being,rlgdnapl,Which one? (Poland),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Subjective well-being,rlgdnapt,Which one? (Portugal),religion,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Subjective well-being,rlgdnrs,Which one? (Serbia),religion,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Subjective well-being,rlgdnask,Which one? (Slovakia),religion,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 11",Subjective well-being,rlgdnase,Which one? (Sweden),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgdnach,Which one? (Switzerland),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgdngb,Which one? (United Kingdom),religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrgrp,Would you describe yourself as being a member of a group that is discriminated against in this country?,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrrce,On what grounds is your group discriminated against? Colour or race,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrntn,On what grounds is your group discriminated against? Nationality,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrrlg,On what grounds is your group discriminated against? Religion,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrlng,On what grounds is your group discriminated against? Language,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscretn,On what grounds is your group discriminated against? Ethnic group,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrage,On what grounds is your group discriminated against? Age,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrgnd,On what grounds is your group discriminated against? Gender,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrsex,On what grounds is your group discriminated against? Sexuality,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrdsb,On what grounds is your group discriminated against? Disability,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscroth,On what grounds is your group discriminated against? Other,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrdk,On what grounds is your group discriminated against? Don't know,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrref,On what grounds is your group discriminated against? Refusal,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,dscrna,On what grounds is your group discriminated against? No answer,social exclusion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,ctzcntr,Are you a citizen of [country]?,national identity,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Subjective well-being,cntbrthd,In which country were you born?,national identity,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Subjective well-being,feethngr,Do you feel you are part of the same race or ethnic group as most people in [country]?,national identity,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,facntr,Was your father born in [country]?,national identity,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,mocntr,Was your mother born in [country]?,national identity,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 10, 11",Subjective well-being,wrclmch,How worried are you about climate change?,climate,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 10, 11",Subjective well-being,ccrdprs,To what extent do you feel a personal responsibility to try to reduce climate change?,climate,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Subjective well-being,vteurmmb,Imagine there were a referendum in [country] tomorrow about membership of the European Union. Would you vote for [country] to remain a member of the European Union or to leave the European Union?,,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Subjective well-being,vteubcmb,Imagine there were a referendum in [country] tomorrow about membership of the European Union. Would you vote for [country] to become a member of the European Union or to remain outside the European Union?,,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 8, 9, 10, 11",Subjective well-being,inprdsc,"How many people, if any, are there with whom you can discuss intimate and personal matters?",well-being,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
,,,,,,,,,,,,
